SciKG PDF vocabulary v3 - GROUNDED + FILTERED (378 papers)
Derived from the raw vocabulary by OMITTING junk terms. Nothing is
altered: every surviving string still appears verbatim in a source PDF
at its recorded char_span. The raw file remains the evidence record.
Stopword list: vocab_stopwords.csv (extend it as needed).
Junk = stopword match, <2 chars, or numeric/punctuation only.

=== instrument (737 distinct) ===
  x1  high temperature elemental analyser (Thermo Fisher Flash 2000 HT EA)
  x1  High TOC II
  x1  high- fi eld Fourier transform ion cyclotron resonance mass spectrometer
  x1  High-Performance Liquid Chromatography-Inductively Coupled Plasma-Mass Spectrometry
  x1  high-purity Germanium (HPGe) γ -spectrometer
  x1  high-resolution FT-ICR mass spectrometer
  x1  high-resolution ICP mass spectrometer (Thermo)
  x1  high-resolution mass spectrometer
  x1  High-Resolution Mass Spectrometer
  x1  high-resolution mass spectrometry detection
  x1  high-resolution TOF
  x1  high-temperature combustion
  x1  highresolution ( m / Δ m 50% ≈ 4000) time-of- fl ight mass spectrometer
  x1  Hitachi F-7000
  x1  Hitachi F-7000 spectrofluorometer
  x1  Hitachi HT7800
  x1  home-built ultrahigh resolution FT-ICR MS
  x1  homebuilt 9.4-T FTICR
  x1  Horiba Aqualog 3D fluorometer
  x1  Horiba Aqualog fluorometer
  x1  Horiba FluoroMax-4
  x1  Horiba Jobin Yvon LabRAM HR
  x1  Horiba Jobin-Yvon Fluoromax-4 Spectrofluorometer
  x1  Horiba Scienti fi c Aqualog
  x1  Horiba Scienti fi c Aqualog benchtop fl uorometer
  x1  Horiba Scienti  c Aqualog
  x1  Horiba Scientific Aqualog 46
  x1  Horiba W-23XD Water Quality Monitoring System
  x1  hot block (Environmental Express)
  x1  HPLC3
  x1  hybrid 21 T FT-ICR mass spectrometer
  x1  hybrid linear ion trap -21 Tesla Fourier transform-ion cyclotron resonance mass spectrometer
  x1  hybrid linear ion trap 21 T FT-ICR mass spectrometer
  x1  hybrid linear ion trap FT-ICR mass spectrometer
  x1  hybrid linear quadrupole ion trap/FT-ICR mass spectrometer (LTQ-FT)
  x1  hybrid linear quadrupole ion trap/FTICR MS (LTQ-FT)
  x1  hybrid quadrupole FT-ICR instrument (SolariXR, Bruker Daltonics)
  x1  iCAP Q MS (Thermo Scientific)
  x1  ICP HR MS
  x1  ICP MS (Thermo Scienti fi c Element XR)
  x1  ICP-MS
  x1  ICP-MS on an iCAP RQ
  x1  ICP-OES
  x1  ICR instrument
  x1  ICR mass analyzer
  x1  Illumina HiSeq
  x1  Illumina MiSeq Platform
  x1  Illumina MiSeq Sequencer
  x1  Illumina MiSeq sequencing system
  x1  Illumina MiSeq System
  x1  Illumina platform
  x1  in-house-fabricated analytical column
  x1  Inductively Coupled Plasma High-Resolution Mass Spectrometry
  x1  Inductively Coupled Plasma HighResolution Mass Spectrometry
  x1  inductively coupled plasma mass spectrometer (ICP-MS)
  x1  Innova 44R shaker (Eppendorf)
  x1  Ion Max APPI source (Thermo Fisher Scienti fi c)
  x1  isotope ratio mass spectrometer
  x1  JEMARM200cF
  x1  Jobin Yvon SPEX Fluoromax-4 spectrometer
  x1  Jobin-Yvon Horiba Fluoromax-3
  x1  JSM 7100F
  x1  Keck Carbon Cycle Accelerator Mass Spectrometer
  x1  Keck Carbon Cycle Accelerator Mass Spectrometry
  x1  Kinexus-Pro
  x1  KinTek RQF-3 Rapid Quench-Flow
  x1  Kongsberg EM2000 multibeam echosounder
  x1  Kongsberg GeoAcoustics subbottom profiler
  x1  LA-ICP-MS
  x1  Lachat flow injection analyser
  x1  Lambda 35 UV/Vis spectrophotometer
  x1  Laser desorption Fourier transform ion cyclotron resonance mass spectrometery (LD FT-ICR MS)
  x1  LC and HESI source settings were the same as those in MS 1 analyses
  x1  LC FT-ICR MS
  x1  LC FTICR MS/MS
  x1  LC-FT-ICR MS
  x1  LC-ICP-MS method
  x1  LC-OCD
  x1  LC-Orbitrap
  x1  LC-QTOF
  x1  LECO
  x1  LECO GC 3 GC
  x1  LECO Pegasus GC 3 GC-HRT
  x1  LGR DLT-100
  x1  linear ion-trap mass spectrometer
  x1  linear RF ion trap
  x1  linear trapping quadrupole; LTQ mass spectrometer
  x1  liquid chromatography-high resolution multistage mass spectrometry
  x1  lower-field FT-ICR MS
  x1  LTQ linear ion trap
  x1  LTQ Orbitrap Elite
  x1  LTQ Orbitrap Velos
  x1  LTQ Orbitrap Velos (Thermo Fisher Scientific)
  x1  LTQ OrbitrapVelos
  x1  LTQ Velos ion trap mass spectrometer
  x1  LTQ-FT Ultra FTMS
  x1  LTQ-Velos
  x1  LTQOrbitrap
  x1  MALDI
  x1  MALDI ToF-MS
  x1  MALDI-TOF
  x1  MALDI-TOF MS
  x1  MALDI-TOF-MS
  x1  MALDIand ESI-Fourier Transform Ion Cyclotron Resonance
  x1  MAT-253 isotope ratio mass spectrometer
  x1  MAT253 plus
  x1  MCR 302 rheometer
  x1  Metrohm 881 Compact IC pro
  x1  Metrohm Compact IC Flex
  x1  mFT Solarix ICR ParaCell
  x1  microchannel
  x1  Micromass Premier double-focussing magnetic sector mass spectrometer
  x1  mini carbon dating accelerator mass spectrometer (MICADAS) system
  x1  Mitsubishi TN2100 V analyzer
  x1  Model 4572 stainless-steel batch reactor
  x1  model 6725 semi-micro bomb calorimeter
  x1  modi fi ed LTQ Fourier transform ion cyclotron resonance (FT-ICR) mass spectrometer
  x1  modi fi ed Velos Pro linear ion trap assembly
